LT01,Nombre,Tipo,TipoLugar,Pais,Provincia,Ciudad,Punto de Localización,Latitud,Longuitud
LT46,Parque Histórico De Guayaquil,LugaresTuristicos,Parque,Ecuador,Guayas,Guayaquil,,-2.1451609,-79.8700969
LT47,Hacienda Jambelí,LugaresTuristicos,Reserva Ecologica,Ecuador,Guayas,Naranjal,"A 16 Km del Cantón Naranjal, en la vía a Machala, exactamente en Balao Chico.",,
LT48,Malecón 2000,LugaresTuristicos,Parque,Ecuador,Guayas,Guayaquil,,-2.1937369,-79.8797778
LT49,Museo Histórico De Abdón Calderón,LugaresTuristicos,Museo,Ecuador,Guayas,Guayaquil,,-2.2153454,-79.8872573
LT50,Otavalo,LugaresTuristicos,Atractivo Turistico,Ecuador,Imbabura,Otavalo,,0.2343005,-78.2610672
LT51,Lago De San Pablo,LugaresTuristicos,Laguna,Ecuador,Imbabura,Ibarra,,0.2059669,78.219132
LT52,Yahuarcocha,LugaresTuristicos,Laguna,Ecuador,Imbabura,Ibarra,Parroquia La Dolorosa del Priorato,0.3719409,-78.1005579
LT53,Ibarra,LugaresTuristicos,Atractivo Turistico,Ecuador,Imbabura,Ibarra,,0.3391763,-78.1222336
LT54,Valle Del Chota,LugaresTuristicos,Atractivo Turistico,Ecuador,Imbabura,Ibarra,A 35 Km. de Ibarra,0.466667,-78.066667
LT55,Basílica Del Cisne,LugaresTuristicos,Santurario Nacional,Ecuador,Loja,Loja,Parroquia El Cisne,-3.851045,-79.426496
LT56,Parque Podocarpus,LugaresTuristicos,Parque Nacional,Ecuador,Loja,Loja,,-4.283333,-79
LT57,Vilcabamba,LugaresTuristicos,Atractivo Turistico,Ecuador,Loja,Vilcambaba,,-4.2623285,-79.2253776
LT58,Iglesia Catedral,LugaresTuristicos,Iglesia,Ecuador,Loja,Loja,,-3.9964969,-79.2010967
LT59,Plaza De La Independencia,LugaresTuristicos,Parque,Ecuador,Loja,Loja,,-4.00156,-79.2013171
LT60,Parque Recreacional Jipiro,LugaresTuristicos,Parque,Ecuador,Loja,Loja,,-3.9720197,-79.2035207
LT61,Casa De Olmedo,LugaresTuristicos,Atractivo Turistico,Ecuador,Los Ríos,Babahoyo,,,
LT62,Playas Del Salto,LugaresTuristicos,Playa,Ecuador,Los Ríos,Babahoyo,,,
LT64,Zoo el Pantanal,LugaresTuristicos,Zoologico,Ecuador,Los Ríos,Babahoyo,,-2.0036723,79.9648543
LT65,Puerto López,LugaresTuristicos,Playa,Ecuador,Manabí,Puerto Lopez,,-1.5539322,-80.8045568
LT66,Parque Nacional Machalilla,LugaresTuristicos,Parque,Ecuador,Manabí,Puerto Machalilla,,-1.5202275,-80.715857
LT67,Portoviejo,LugaresTuristicos,Atractivo Turistico,Ecuador,Manabí,Portoviejo,,-1.054723,-80.4524903
LT68,Ayampe,LugaresTuristicos,Playa,Ecuador,Manabí,Puerto López,A 17 Km. al sur de Puerto López,-1.679507,-80.803711
LT69,Playas Del Murciélago,LugaresTuristicos,Playa,Ecuador,Manabí,Manta,,-0.9399588,-80.7330658
LT70,Cascada Lucy,LugaresTuristicos,Cascada,Ecuador,Morona Santiago,,,,
LT71,Rio Morona,LugaresTuristicos,Rio,Ecuador,Morona Santiago,Morona,,-4.733333,-77.066667
LT72,Valle Del Rio Upano,LugaresTuristicos,Rio,Ecuador,Morona Santiago,Macas,,-2.3916143,-78.2034128
LT73,Cuevas Los Tayos,LugaresTuristicos,Cueva,Ecuador,Morona Santiago,Limón Indanza,,-1.933333,-77.792778
LT74,Cuevas De Loras Y Golondrinas,LugaresTuristicos,Cueva,Ecuador,Morona Santiago,Tiwintza,A Unos 3 Km En El Cantón De Tiwintza,21.599722,-99.098889
LT75,Tena,LugaresTuristicos,Atractivo Turistico,Ecuador,Napo,Tena,,-0.9962972,-77.8136035
LT76,Parque Nacional Archidona,LugaresTuristicos,Parque Nacional,Ecuador,Napo,Archidona,,-0.9088177,-77.806994
