OBJECTID,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,UNIDTERR1,UNIDTERR2,UNIDTERR3,PAIS,GID_3
830,38392,0.27,30364,79,8028,20.91,11516,0.25,9223,80,2293,19.91,180,0.59,527,1.74,22,0.27,610,0.08,23171,0.67,5647,61.2,12093,0.69,11078,0.64,160,395,22616,76.31,202,0.53,88.89,1137,2.96,74.95,LOS RIOS,MOCACHE,MOCACHE,Ecuador,ECU.13.4.1_1
831,16476,0.11,11903,72.2,4573,27.76,5051,0.11,3648,72.2,1403,27.78,95,0.8,403,3.39,29,0.63,457,0.06,8742,0.25,2063,56.5,4557,0.26,4185,0.24,70,306,8366,73.44,124,0.75,73.68,860,5.22,75.93,LOS RIOS,QUINSALOMA,QUINSALOMA,Ecuador,ECU.13.9.1_1
832,223086,1.54,16404,7.35,206682,92.65,64127,1.38,5032,7.85,59095,92.15,9,0.05,208,1.27,419,0.2,12551,1.62,12583,0.36,3135,62.3,6461,0.37,6122,0.36,8,161,12414,76.71,428,0.19,88.89,12759,5.72,77.4,MANABI,PORTOVIEJO,PORTOVIEJO,Ecuador,ECU.14.16.5_1
833,14164,0.1,14164,100,0,0,4121,0.09,4121,100,0,0,7,0.05,403,2.85,0,0,0,0,9514,0.27,2230,54.1,4856,0.28,4658,0.27,4,304,9206,67.17,7,0.05,57.14,403,2.85,75.43,MANABI,PORTOVIEJO,ABDON CALDERON (SAN FRANCISCO),Ecuador,ECU.14.16.1_1
834,3754,0.03,3754,100,0,0,1174,0.03,1174,100,0,0,6,0.16,101,2.69,0,0,0,0,2555,0.07,609,51.8,1250,0.07,1305,0.08,6,72,2477,68.06,6,0.16,100,101,2.69,71.29,MANABI,PORTOVIEJO,ALHAJUELA (BAJO GRANDE),Ecuador,ECU.14.16.2_1
835,14050,0.1,14050,100,0,0,5134,0.11,5134,100,0,0,8,0.06,831,5.91,0,0,0,0,8775,0.25,2118,41.2,4469,0.26,4306,0.25,6,514,8255,62.46,8,0.06,75,831,5.91,61.85,MANABI,PORTOVIEJO,CRUCITA,Ecuador,ECU.14.16.4_1
836,3169,0.02,3169,100,0,0,911,0.02,911,100,0,0,3,0.09,139,4.39,0,0,0,0,2418,0.07,563,61.8,1256,0.07,1162,0.07,1,134,2283,76.3,3,0.09,33.33,139,4.39,96.4,MANABI,PORTOVIEJO,PUEBLO NUEVO,Ecuador,ECU.14.16.6_1
837,11757,0.08,11757,100,0,0,3505,0.08,3505,100,0,0,7,0.06,308,2.62,0,0,0,0,7427,0.21,1871,53.3,3775,0.22,3652,0.21,7,194,7226,63.17,7,0.06,100,308,2.62,62.99,MANABI,PORTOVIEJO,RIOCHICO (RIO CHICO),Ecuador,ECU.14.16.7_1
838,7687,0.05,7687,100,0,0,2171,0.05,2171,100,0,0,1,0.01,155,2.02,0,0,0,0,5941,0.17,1318,60.7,3012,0.17,2929,0.17,1,117,5823,77.29,1,0.01,100,155,2.02,75.48,MANABI,PORTOVIEJO,SAN PLACIDO,Ecuador,ECU.14.16.8_1
839,2362,0.02,2362,100,0,0,747,0.02,747,100,0,0,1,0.04,47,1.99,0,0,0,0,1955,0.06,472,63.1,986,0.06,969,0.06,1,41,1913,82.77,1,0.04,100,47,1.99,87.23,MANABI,PORTOVIEJO,CHIRIJOS,Ecuador,ECU.14.16.3_1
840,33415,0.23,15783,47.2,17632,52.77,9343,0.2,4412,47.2,4931,52.78,16,0.1,182,1.15,9,0.05,1409,0.18,13322,0.38,3103,70.3,6788,0.39,6534,0.38,11,160,13151,84.41,25,0.07,68.75,1591,4.76,87.91,MANABI,BOLIVAR,CALCETA,Ecuador,ECU.14.2.1_1
841,3553,0.02,3553,100,0,0,1056,0.02,1056,100,0,0,7,0.2,67,1.89,0,0,0,0,3136,0.09,710,67.2,1628,0.09,1508,0.09,5,51,3080,88.26,7,0.2,71.43,67,1.89,76.12,MANABI,BOLIVAR,MEMBRILLO,Ecuador,ECU.14.2.2_1
842,3767,0.03,3767,100,0,0,930,0.02,930,100,0,0,6,0.16,113,3,0,0,0,0,2361,0.07,537,57.7,1232,0.07,1129,0.07,1,54,2306,62.68,6,0.16,16.67,113,3,47.79,MANABI,BOLIVAR,QUIROGA,Ecuador,ECU.14.2.3_1
843,74906,0.52,22096,29.5,52810,70.5,20902,0.45,6434,30.7,14468,69.22,18,0.08,1728,7.82,76,0.14,4496,0.58,19005,0.55,4401,68.4,9925,0.57,9080,0.53,12,1615,17378,86.01,94,0.13,66.67,6224,8.31,93.46,MANABI,CHONE,CHONE,Ecuador,ECU.14.3.4_1
844,4501,0.03,4501,100,0,0,1369,0.03,1369,100,0,0,3,0.07,89,1.98,0,0,0,0,4058,0.12,976,71.2,2128,0.12,1930,0.11,3,73,3982,90.16,3,0.07,100,89,1.98,82.02,MANABI,CHONE,BOYACA,Ecuador,ECU.14.3.1_1
845,10355,0.07,10355,100,0,0,2906,0.06,2906,100,0,0,5,0.05,484,4.67,0,0,0,0,7813,0.23,1754,60.3,3955,0.23,3858,0.22,5,340,7468,75.45,5,0.05,100,484,4.67,70.25,MANABI,CHONE,CANUTO,Ecuador,ECU.14.3.2_1
846,6578,0.05,6578,100,0,0,1914,0.04,1914,100,0,0,1,0.02,241,3.66,0,0,0,0,5484,0.16,1244,64.9,2854,0.16,2630,0.15,0,182,5302,83.37,1,0.02,0,241,3.66,75.52,MANABI,CHONE,CONVENTO,Ecuador,ECU.14.3.5_1
847,6360,0.04,6360,100,0,0,1854,0.04,1854,100,0,0,18,0.28,342,5.38,0,0,0,0,5563,0.16,1240,66.8,2976,0.17,2587,0.15,9,295,5259,87.47,18,0.28,50,342,5.38,86.26,MANABI,CHONE,CHIBUNGA,Ecuador,ECU.14.3.3_1
848,7832,0.05,7832,100,0,0,2411,0.05,2411,100,0,0,7,0.09,131,1.67,0,0,0,0,6730,0.19,1620,67.1,3464,0.2,3266,0.19,6,77,6647,85.93,7,0.09,85.71,131,1.67,58.78,MANABI,CHONE,ELOY ALFARO,Ecuador,ECU.14.3.6_1
849,7920,0.05,7920,100,0,0,2322,0.05,2322,100,0,0,2,0.03,311,3.93,0,0,0,0,6351,0.18,1417,61,3265,0.19,3086,0.18,2,258,6091,80.19,2,0.03,100,311,3.93,82.96,MANABI,CHONE,RICAURTE,Ecuador,ECU.14.3.7_1
850,8039,0.06,8039,100,0,0,2260,0.05,2260,100,0,0,3,0.04,320,3.98,0,0,0,0,5944,0.17,1407,62.2,3047,0.17,2897,0.17,2,204,5738,73.94,3,0.04,66.67,320,3.98,63.75,MANABI,CHONE,SAN ANTONIO,Ecuador,ECU.14.3.8_1
851,77743,0.54,31385,40.3,46358,59.63,21537,0.46,9206,42.7,12331,57.25,32,0.1,1232,3.93,88,0.19,3532,0.46,24157,0.7,5486,59.5,12772,0.73,11385,0.66,12,967,23178,76.97,120,0.15,37.5,4764,6.13,78.49,MANABI,EL CARMEN,EL CARMEN,Ecuador,ECU.14.4.1_1
