OBJECTID,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,UNIDTERR1,UNIDTERR2,UNIDTERR3,PAIS,GID_3
1,55374,0.38,31500,56.8,23874,43.11,19051,0.41,11022,57.8,8029,42.14,22400,71.1,23,0.07,1773,7.43,356,0.05,26365,0.76,5993,54.3,12608,0.72,13757,0.8,19650,14,6701,83.7,24173,43.65,87.72,379,0.68,60.87,BOLIVAR,GUARANDA,GUARANDA,Ecuador,ECU.2.5.2_1
2,3319,0.02,3319,100,0,0,1459,0.03,1459,100,0,0,1037,31.2,20,0.6,0,0,0,0,2726,0.08,665,45.5,1399,0.08,1327,0.08,939,14,1773,82.13,1037,31.24,90.55,20,0.6,70,BOLIVAR,GUARANDA,FACUNDO VELA,Ecuador,ECU.2.5.1_1
3,2948,0.02,2948,100,0,0,1298,0.03,1298,100,0,0,1842,62.4,5,0.17,0,0,0,0,2547,0.07,633,48.7,1250,0.07,1297,0.08,1747,0,800,86.4,1842,62.48,94.84,5,0.17,0,BOLIVAR,GUARANDA,JULIO E. MORENO (CATANAHUAN GRANDE),Ecuador,ECU.2.5.3_1
4,5821,0.04,5821,100,0,0,2468,0.05,2468,100,0,0,2278,39.1,88,1.51,0,0,0,0,4104,0.12,993,40.2,2050,0.12,2054,0.12,1740,72,2292,70.5,2278,39.13,76.38,88,1.51,81.82,BOLIVAR,GUARANDA,SALINAS,Ecuador,ECU.2.5.4_1
5,1857,0.01,1857,100,0,0,794,0.02,794,100,0,0,38,2.05,13,0.7,0,0,0,0,1205,0.03,321,40.4,592,0.03,613,0.04,37,7,1161,64.89,38,2.05,97.37,13,0.7,53.85,BOLIVAR,GUARANDA,SAN LORENZO,Ecuador,ECU.2.5.5_1
6,4203,0.03,4203,100,0,0,1489,0.03,1489,100,0,0,2738,65.1,16,0.38,0,0,0,0,3151,0.09,705,47.3,1522,0.09,1629,0.09,2271,6,874,74.97,2738,65.14,82.94,16,0.38,37.5,BOLIVAR,GUARANDA,SAN SIMON (YACOTO),Ecuador,ECU.2.5.7_1
7,1752,0.01,1752,100,0,0,796,0.02,796,100,0,0,230,13.1,30,1.71,0,0,0,0,1175,0.03,281,35.3,555,0.03,620,0.04,198,25,952,67.07,230,13.13,86.09,30,1.71,83.33,BOLIVAR,GUARANDA,SANTA FE (SANTA FE),Ecuador,ECU.2.5.8_1
8,11246,0.08,11246,100,0,0,3962,0.09,3962,100,0,0,10583,94.1,15,0.13,0,0,0,0,10042,0.29,2126,53.6,4932,0.28,5110,0.3,9546,13,483,89.29,10583,94.1,90.2,15,0.13,86.67,BOLIVAR,GUARANDA,SIMIATUG,Ecuador,ECU.2.5.9_1
9,5357,0.04,5357,100,0,0,1702,0.04,1702,100,0,0,258,4.82,101,1.89,0,0,0,0,3014,0.09,662,38.9,1540,0.09,1474,0.09,171,50,2793,56.26,258,4.82,66.28,101,1.89,49.5,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,Ecuador,ECU.2.5.6_1
10,13274,0.09,10593,79.8,2681,20.2,4670,0.1,3699,79.2,971,20.79,554,5.23,138,1.3,50,1.86,25,0,8622,0.25,2093,56.5,4371,0.25,4251,0.25,473,110,8039,81.39,604,4.55,85.38,163,1.23,79.71,BOLIVAR,CHILLANES,CHILLANES,Ecuador,ECU.2.2.1_1
11,4132,0.03,4132,100,0,0,1413,0.03,1413,100,0,0,51,1.23,70,1.69,0,0,0,0,2902,0.08,681,48.2,1541,0.09,1361,0.08,47,38,2817,70.23,51,1.23,92.16,70,1.69,54.29,BOLIVAR,CHILLANES,SAN JOSE DEL TAMBO (TAMBOPAMBA),Ecuador,ECU.2.2.2_1
12,5809,0.04,1407,24.2,4402,75.78,1858,0.04,526,28.3,1332,71.69,69,4.9,35,2.49,28,0.64,68,0.01,763,0.02,192,36.5,366,0.02,397,0.02,39,19,705,54.23,97,1.67,56.52,103,1.77,54.29,BOLIVAR,CHIMBO,SAN JOSE DE CHIMBO,Ecuador,ECU.2.3.3_1
13,2837,0.02,2837,100,0,0,1001,0.02,1001,100,0,0,246,8.67,13,0.46,0,0,0,0,1896,0.05,455,45.4,915,0.05,981,0.06,203,7,1686,66.83,246,8.67,82.52,13,0.46,53.85,BOLIVAR,CHIMBO,ASUNCION (ASANCOTO),Ecuador,ECU.2.3.1_1
14,2819,0.02,2819,100,0,0,1057,0.02,1057,100,0,0,164,5.82,11,0.39,0,0,0,0,1732,0.05,377,35.6,827,0.05,905,0.05,136,7,1589,61.44,164,5.82,82.93,11,0.39,63.64,BOLIVAR,CHIMBO,MAGDALENA (CHAPACOTO),Ecuador,ECU.2.3.2_1
15,1057,0.01,1057,100,0,0,412,0.01,412,100,0,0,28,2.65,11,1.04,0,0,0,0,667,0.02,175,42.4,335,0.02,332,0.02,28,9,630,63.1,28,2.65,100,11,1.04,81.82,BOLIVAR,CHIMBO,SAN SEBASTIAN,Ecuador,ECU.2.3.4_1
16,3257,0.02,3257,100,0,0,1111,0.02,1111,100,0,0,11,0.34,13,0.4,0,0,0,0,2812,0.08,651,58.6,1425,0.08,1387,0.08,10,9,2793,86.34,11,0.34,90.91,13,0.4,69.23,BOLIVAR,CHIMBO,TELIMBELA,Ecuador,ECU.2.3.5_1
17,12114,0.08,5944,49,6170,50.93,4476,0.1,2284,51,2192,48.97,256,4.31,82,1.38,276,4.47,133,0.02,4268,0.12,1041,45.5,2211,0.13,2057,0.12,221,52,3995,71.8,532,4.39,86.33,215,1.77,63.41,BOLIVAR,ECHEANDIA,ECHEANDIA,Ecuador,ECU.2.4.1_1
18,12409,0.09,5498,44.3,6911,55.69,4274,0.09,1873,43.8,2401,56.18,103,1.87,20,0.36,83,1.2,88,0.01,3621,0.1,835,44.5,1774,0.1,1847,0.11,79,13,3529,65.86,186,1.5,76.7,108,0.87,65,BOLIVAR,SAN MIGUEL,SAN MIGUEL,Ecuador,ECU.2.7.4_1
19,2765,0.02,2765,100,0,0,1163,0.02,1163,100,0,0,23,0.83,19,0.69,0,0,0,0,1690,0.05,431,37,884,0.05,806,0.05,20,10,1660,61.12,23,0.83,86.96,19,0.69,52.63,BOLIVAR,SAN MIGUEL,BALSAPAMBA,Ecuador,ECU.2.7.1_1
20,2745,0.02,2745,100,0,0,1030,0.02,1030,100,0,0,129,4.7,54,1.97,0,0,0,0,2163,0.06,525,50.9,1082,0.06,1081,0.06,119,40,2004,78.8,129,4.7,92.25,54,1.97,74.07,BOLIVAR,SAN MIGUEL,BILOVAN,Ecuador,ECU.2.7.2_1
21,944,0.01,944,100,0,0,324,0.01,324,100,0,0,5,0.53,0,0,0,0,0,0,828,0.02,189,58.3,406,0.02,422,0.02,4,0,824,87.71,5,0.53,80,0,0,0,BOLIVAR,SAN MIGUEL,REGULO DE MORA,Ecuador,ECU.2.7.3_1
22,5489,0.04,5489,100,0,0,1704,0.04,1704,100,0,0,448,8.16,23,0.42,0,0,0,0,3889,0.11,855,50.1,1900,0.11,1989,0.12,387,6,3496,70.85,448,8.16,86.38,23,0.42,26.09,BOLIVAR,SAN MIGUEL,SAN PABLO (SAN PABLO DE ATENAS),Ecuador,ECU.2.7.5_1
23,1749,0.01,1749,100,0,0,657,0.01,657,100,0,0,634,36.2,6,0.34,0,0,0,0,1250,0.04,283,43,638,0.04,612,0.04,544,1,705,71.47,634,36.25,85.8,6,0.34,16.67,BOLIVAR,SAN MIGUEL,SANTIAGO,Ecuador,ECU.2.7.7_1
24,1143,0.01,1143,100,0,0,498,0.01,498,100,0,0,5,0.44,3,0.26,0,0,0,0,838,0.02,218,43.7,415,0.02,423,0.02,4,3,831,73.32,5,0.44,80,3,0.26,100,BOLIVAR,SAN MIGUEL,SAN VICENTE,Ecuador,ECU.2.7.6_1
25,13129,0.09,6860,52.2,6269,47.75,4728,0.1,2388,50.5,2340,49.49,175,2.55,55,0.8,121,1.93,143,0.02,4877,0.14,1208,50.5,2419,0.14,2458,0.14,159,42,4676,71.09,296,2.25,90.86,198,1.51,76.36,BOLIVAR,CALUMA,CALUMA,Ecuador,ECU.2.1.1_1
26,6092,0.04,4607,75.6,1485,24.38,1850,0.04,1357,73.3,493,26.65,72,1.56,192,4.17,11,0.74,78,0.01,3335,0.1,757,55.7,1715,0.1,1620,0.09,52,147,3136,72.39,83,1.36,72.22,270,4.43,76.56,BOLIVAR,LAS NAVES,LAS NAVES,Ecuador,ECU.2.6.1_1
27,60403,0.42,6845,11.3,53558,88.67,17832,0.38,2106,11.8,15726,88.19,126,1.84,167,2.44,1117,2.09,2365,0.31,3635,0.1,811,38.5,1767,0.1,1868,0.11,88,87,3460,53.1,1243,2.06,69.84,2532,4.19,52.1,CARCHI,TULCAN,TULCAN,Ecuador,ECU.4.6.9_1
28,2789,0.02,2789,100,0,0,851,0.02,851,100,0,0,11,0.39,30,1.08,0,0,0,0,1709,0.05,370,43.4,843,0.05,866,0.05,5,23,1681,61.28,11,0.39,45.45,30,1.08,76.67,CARCHI,TULCAN,EL CARMELO (EL PUN),Ecuador,ECU.4.6.1_1
29,9634,0.07,9634,100,0,0,2937,0.06,2937,100,0,0,190,1.97,231,2.4,0,0,0,0,4849,0.14,1056,35.9,2387,0.14,2462,0.14,72,102,4675,50.33,190,1.97,37.89,231,2.4,44.16,CARCHI,TULCAN,JULIO ANDRADE (OREJUELA),Ecuador,ECU.4.6.3_1
30,1703,0.01,1703,100,0,0,490,0.01,490,100,0,0,212,12.4,22,1.29,0,0,0,0,1097,0.03,225,45.9,555,0.03,542,0.03,135,17,945,64.42,212,12.45,63.68,22,1.29,77.27,CARCHI,TULCAN,MALDONADO,Ecuador,ECU.4.6.4_1
31,718,0,718,100,0,0,271,0.01,271,100,0,0,0,0,1,0.14,0,0,0,0,399,0.01,94,34.6,206,0.01,193,0.01,0,0,399,55.57,0,0,0,1,0.14,0,CARCHI,TULCAN,PIOTER,Ecuador,ECU.4.6.5_1
32,905,0.01,905,100,0,0,200,0,200,100,0,0,568,62.7,148,16.3,0,0,0,0,818,0.02,158,79,395,0.02,423,0.02,561,134,123,90.39,568,62.76,98.77,148,16.35,90.54,CARCHI,TULCAN,TOBAR DONOSO (LA BOCANA DE CAMUMBI),Ecuador,ECU.4.6.7_1
33,2339,0.02,2339,100,0,0,734,0.02,734,100,0,0,370,15.8,36,1.54,0,0,0,0,1373,0.04,304,41.4,687,0.04,686,0.04,227,19,1127,58.7,370,15.82,61.35,36,1.54,52.78,CARCHI,TULCAN,TUFIO,Ecuador,ECU.4.6.8_1
34,2204,0.02,2204,100,0,0,648,0.01,648,100,0,0,1,0.05,16,0.73,0,0,0,0,1492,0.04,357,55,751,0.04,741,0.04,1,11,1480,67.7,1,0.05,100,16,0.73,68.75,CARCHI,TULCAN,URBINA (TAYA),Ecuador,ECU.4.6.10_1
35,3437,0.02,3437,100,0,0,811,0.02,811,100,0,0,1989,57.8,34,0.99,0,0,0,0,2941,0.08,560,69,1484,0.08,1457,0.08,1943,23,975,85.57,1989,57.87,97.69,34,0.99,67.65,CARCHI,TULCAN,EL CHICAL,Ecuador,ECU.4.6.2_1
36,2366,0.02,2366,100,0,0,721,0.02,721,100,0,0,24,1.01,34,1.44,0,0,0,0,1139,0.03,264,36.6,582,0.03,557,0.03,5,15,1119,48.14,24,1.01,20.83,34,1.44,44.12,CARCHI,TULCAN,SANTA MARTHA DE CUBA,Ecuador,ECU.4.6.6_1
37,5206,0.04,2208,42.4,2998,57.59,1778,0.04,769,43.2,1009,56.75,9,0.41,21,0.95,18,0.6,57,0.01,1292,0.04,304,39.5,648,0.04,644,0.04,6,6,1280,58.51,27,0.52,66.67,78,1.5,28.57,CARCHI,BOLIVAR,BOLIVAR,Ecuador,ECU.4.1.1_1
38,1406,0.01,1406,100,0,0,579,0.01,579,100,0,0,11,0.78,57,4.05,0,0,0,0,768,0.02,196,33.8,390,0.02,378,0.02,3,19,746,54.62,11,0.78,27.27,57,4.05,33.33,CARCHI,BOLIVAR,GARCIA MORENO,Ecuador,ECU.4.1.2_1
39,2260,0.02,2260,100,0,0,941,0.02,941,100,0,0,2,0.09,508,22.4,0,0,0,0,1449,0.04,373,39.6,685,0.04,764,0.04,2,381,1066,64.12,2,0.09,100,508,22.48,75,CARCHI,BOLIVAR,LOS ANDES,Ecuador,ECU.4.1.3_1
40,1690,0.01,1690,100,0,0,643,0.01,643,100,0,0,6,0.36,20,1.18,0,0,0,0,905,0.03,208,32.3,481,0.03,424,0.02,3,17,885,53.55,6,0.36,50,20,1.18,85,CARCHI,BOLIVAR,MONTE OLIVO,Ecuador,ECU.4.1.4_1
41,2044,0.01,2044,100,0,0,699,0.02,699,100,0,0,49,2.4,1165,57,0,0,0,0,1263,0.04,297,42.4,617,0.04,646,0.04,33,835,395,61.79,49,2.4,67.35,1165,57,71.67,CARCHI,BOLIVAR,SAN VICENTE DE PUSIR,Ecuador,ECU.4.1.6_1
42,1741,0.01,1741,100,0,0,610,0.01,610,100,0,0,8,0.46,760,43.6,0,0,0,0,1060,0.03,246,40.3,509,0.03,551,0.03,4,514,542,60.88,8,0.46,50,760,43.65,67.63,CARCHI,BOLIVAR,SAN RAFAEL,Ecuador,ECU.4.1.5_1
43,6325,0.04,1828,28.9,4497,71.1,2046,0.04,650,31.7,1396,68.23,3,0.16,15,0.82,58,1.29,76,0.01,1134,0.03,268,41.2,553,0.03,581,0.03,2,9,1123,62.04,61,0.96,66.67,91,1.44,60,CARCHI,ESPEJO,EL ANGEL,Ecuador,ECU.4.2.1_1
44,816,0.01,816,100,0,0,350,0.01,350,100,0,0,9,1.1,47,5.76,0,0,0,0,597,0.02,143,40.8,317,0.02,280,0.02,9,36,552,73.16,9,1.1,100,47,5.76,76.6,CARCHI,ESPEJO,EL GOALTAL,Ecuador,ECU.4.2.2_1
45,3502,0.02,3502,100,0,0,1235,0.03,1235,100,0,0,9,0.26,11,0.31,0,0,0,0,1957,0.06,462,37.4,974,0.06,983,0.06,4,5,1948,55.88,9,0.26,44.44,11,0.31,45.45,CARCHI,ESPEJO,LA LIBERTAD (ALIZO),Ecuador,ECU.4.2.3_1
46,2721,0.02,2721,100,0,0,1022,0.02,1022,100,0,0,53,1.95,36,1.32,0,0,0,0,1183,0.03,260,25.4,559,0.03,624,0.04,24,14,1145,43.48,53,1.95,45.28,36,1.32,38.89,CARCHI,ESPEJO,SAN ISIDRO,Ecuador,ECU.4.2.4_1
47,5994,0.04,2898,48.3,3096,51.65,2256,0.05,1172,51.9,1084,48.05,35,1.21,723,24.9,17,0.55,66,0.01,1517,0.04,366,31.2,751,0.04,766,0.04,27,388,1102,52.35,52,0.87,77.14,789,13.16,53.67,CARCHI,MIRA,MIRA (CHONTAHUASI),Ecuador,ECU.4.3.4_1
48,2807,0.02,2807,100,0,0,877,0.02,877,100,0,0,3,0.11,2049,73,0,0,0,0,1830,0.05,379,43.2,899,0.05,931,0.05,1,1331,498,65.19,3,0.11,33.33,2049,73,64.96,CARCHI,MIRA,CONCEPCION,Ecuador,ECU.4.3.1_1
49,2071,0.01,2071,100,0,0,787,0.02,787,100,0,0,269,12.9,569,27.4,0,0,0,0,1592,0.05,352,44.7,832,0.05,760,0.04,257,394,941,76.87,269,12.99,95.54,569,27.47,69.24,CARCHI,MIRA,JIJON Y CAAMA (CAB. EN RIO BLANCO),Ecuador,ECU.4.3.2_1
50,1308,0.01,1308,100,0,0,417,0.01,417,100,0,0,0,0,488,37.3,0,0,0,0,725,0.02,174,41.7,355,0.02,370,0.02,0,250,475,55.43,0,0,0,488,37.31,51.23,CARCHI,MIRA,JUAN MONTALVO (SAN IGNACIO DE QUIL),Ecuador,ECU.4.3.3_1
51,21096,0.15,6609,31.3,14487,68.67,6443,0.14,2283,35.4,4160,64.57,13,0.2,64,0.97,305,2.11,485,0.06,4140,0.12,947,41.4,2012,0.12,2128,0.12,5,41,4094,62.64,318,1.51,38.46,549,2.6,64.06,CARCHI,MONTUFAR,SAN GABRIEL,Ecuador,ECU.4.4.6_1
52,2943,0.02,2943,100,0,0,1051,0.02,1051,100,0,0,25,0.85,56,1.9,0,0,0,0,1650,0.05,386,36.7,811,0.05,839,0.05,5,27,1618,56.07,25,0.85,20,56,1.9,48.21,CARCHI,MONTUFAR,CRISTOBAL COLON,Ecuador,ECU.4.4.2_1
53,618,0,618,100,0,0,234,0.01,234,100,0,0,10,1.62,20,3.24,0,0,0,0,326,0.01,73,31.2,165,0.01,161,0.01,1,7,318,52.75,10,1.62,10,20,3.24,35,CARCHI,MONTUFAR,CHITAN DE NAVARRETE,Ecuador,ECU.4.4.1_1
54,1282,0.01,1282,100,0,0,454,0.01,454,100,0,0,1,0.08,16,1.25,0,0,0,0,687,0.02,162,35.6,359,0.02,328,0.02,0,7,680,53.59,1,0.08,0,16,1.25,43.75,CARCHI,MONTUFAR,FERNANDEZ SALVADOR,Ecuador,ECU.4.4.3_1
55,3432,0.02,3432,100,0,0,1273,0.03,1273,100,0,0,22,0.64,26,0.76,0,0,0,0,1957,0.06,439,34.4,942,0.05,1015,0.06,9,4,1944,57.02,22,0.64,40.91,26,0.76,15.38,CARCHI,MONTUFAR,LA PAZ,Ecuador,ECU.4.4.4_1
56,1140,0.01,1140,100,0,0,431,0.01,431,100,0,0,0,0,9,0.79,0,0,0,0,680,0.02,163,37.8,344,0.02,336,0.02,0,6,674,59.65,0,0,0,9,0.79,66.67,CARCHI,MONTUFAR,PIARTAL,Ecuador,ECU.4.4.5_1
57,6241,0.04,2382,38.1,3859,61.83,1845,0.04,755,40.9,1090,59.08,30,1.26,12,0.5,74,1.92,99,0.01,1340,0.04,322,42.6,673,0.04,667,0.04,15,8,1317,56.26,104,1.67,50,111,1.78,66.67,CARCHI,SAN PEDRO DE HUACA,HUACA,Ecuador,ECU.4.5.1_1
58,1383,0.01,1383,100,0,0,514,0.01,514,100,0,0,2,0.14,23,1.66,0,0,0,0,671,0.02,156,30.3,328,0.02,343,0.02,1,9,661,48.52,2,0.14,50,23,1.66,39.13,CARCHI,SAN PEDRO DE HUACA,MARISCAL SUCRE,Ecuador,ECU.4.5.2_1
59,98355,0.68,34513,35,63842,64.91,33749,0.73,12062,35.7,21687,64.26,3254,9.43,402,1.16,3233,5.06,1389,0.18,20117,0.58,4750,39.3,9609,0.55,10508,0.61,2422,267,17428,58.29,6487,6.6,74.43,1791,1.82,66.42,COTOPAXI,LATACUNGA,LATACUNGA,Ecuador,ECU.6.2.6_1
60,5481,0.04,5481,100,0,0,2061,0.04,2061,100,0,0,96,1.75,14,0.26,0,0,0,0,3048,0.09,734,35.6,1477,0.08,1571,0.09,79,3,2966,55.61,96,1.75,82.29,14,0.26,21.43,COTOPAXI,LATACUNGA,ALAQUES (ALAQUEZ),Ecuador,ECU.6.2.2_1
61,6359,0.04,6359,100,0,0,2259,0.05,2259,100,0,0,1112,17.4,55,0.86,0,0,0,0,4227,0.12,971,42.9,1996,0.11,2231,0.13,924,30,3273,66.47,1112,17.49,83.09,55,0.86,54.55,COTOPAXI,LATACUNGA,BELISARIO QUEVEDO (GUANAILIN),Ecuador,ECU.6.2.3_1
62,9668,0.07,9668,100,0,0,2666,0.06,2666,100,0,0,225,2.33,271,2.8,0,0,0,0,4118,0.12,860,32.2,2006,0.11,2112,0.12,72,23,4023,42.59,225,2.33,32,271,2.8,8.49,COTOPAXI,LATACUNGA,GUAITACAMA (GUAYTACAMA),Ecuador,ECU.6.2.4_1
63,2869,0.02,2869,100,0,0,861,0.02,861,100,0,0,43,1.5,28,0.98,0,0,0,0,1406,0.04,294,34.1,672,0.04,734,0.04,23,9,1374,49.01,43,1.5,53.49,28,0.98,32.14,COTOPAXI,LATACUNGA,JOSEGUANGO BAJO,Ecuador,ECU.6.2.5_1
64,8095,0.06,8095,100,0,0,2677,0.06,2677,100,0,0,107,1.32,172,2.12,0,0,0,0,5416,0.16,1247,46.5,2551,0.15,2865,0.17,64,119,5233,66.91,107,1.32,59.81,172,2.12,69.19,COTOPAXI,LATACUNGA,MULALO,Ecuador,ECU.6.2.7_1
65,1988,0.01,1988,100,0,0,857,0.02,857,100,0,0,133,6.69,12,0.6,0,0,0,0,1287,0.04,363,42.3,613,0.04,674,0.04,98,9,1180,64.74,133,6.69,73.68,12,0.6,75,COTOPAXI,LATACUNGA,11 DE NOVIEMBRE (ILINCHISI),Ecuador,ECU.6.2.1_1
66,5709,0.04,5709,100,0,0,2053,0.04,2053,100,0,0,2209,38.6,7,0.12,0,0,0,0,4414,0.13,1057,51.4,2113,0.12,2301,0.13,1943,1,2470,77.32,2209,38.69,87.96,7,0.12,14.29,COTOPAXI,LATACUNGA,POALO,Ecuador,ECU.6.2.8_1
67,11449,0.08,11449,100,0,0,4120,0.09,4120,100,0,0,303,2.65,74,0.65,0,0,0,0,8131,0.23,1947,47.2,3899,0.22,4232,0.25,205,47,7879,71.02,303,2.65,67.66,74,0.65,63.51,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ecuador,ECU.6.2.9_1
68,12831,0.09,12831,100,0,0,4176,0.09,4176,100,0,0,304,2.37,129,1.01,0,0,0,0,7833,0.23,1755,42,3780,0.22,4053,0.24,214,55,7564,61.05,304,2.37,70.39,129,1.01,42.64,COTOPAXI,LATACUNGA,TANICUCHI,Ecuador,ECU.6.2.10_1
69,7685,0.05,7685,100,0,0,2470,0.05,2470,100,0,0,3530,45.9,22,0.29,0,0,0,0,5823,0.17,1190,48.1,2865,0.16,2958,0.17,3203,7,2613,75.77,3530,45.93,90.74,22,0.29,31.82,COTOPAXI,LATACUNGA,TOACASO,Ecuador,ECU.6.2.11_1
70,36254,0.25,12479,34.4,23775,65.58,11596,0.25,3750,32.3,7846,67.66,192,1.54,509,4.08,446,1.88,1951,0.25,7958,0.23,1786,47.6,4066,0.23,3892,0.23,146,389,7423,63.77,638,1.76,76.04,2460,6.79,76.42,COTOPAXI,LA MANA,LA MANA,Ecuador,ECU.6.1.2_1
71,3908,0.03,3908,100,0,0,1305,0.03,1305,100,0,0,97,2.48,25,0.64,0,0,0,0,2691,0.08,585,44.8,1340,0.08,1351,0.08,75,17,2599,68.86,97,2.48,77.32,25,0.64,68,COTOPAXI,LA MANA,GUASAGANDA (CAB. EN GUASAGANDA CENTRO),Ecuador,ECU.6.1.1_1
72,2054,0.01,2054,100,0,0,829,0.02,829,100,0,0,11,0.54,19,0.93,0,0,0,0,1529,0.04,378,45.6,791,0.05,738,0.04,10,14,1505,74.44,11,0.54,90.91,19,0.93,73.68,COTOPAXI,LA MANA,PUCAYACU,Ecuador,ECU.6.1.3_1
73,6565,0.05,4916,74.8,1649,25.12,2774,0.06,2056,74.1,718,25.88,1461,29.7,28,0.57,50,3.03,56,0.01,4470,0.13,1053,51.2,2259,0.13,2211,0.13,1300,26,3144,90.93,1511,23.02,88.98,84,1.28,92.86,COTOPAXI,PANGUA,EL CORAZON,Ecuador,ECU.6.3.1_1
74,12376,0.09,12376,100,0,0,4019,0.09,4019,100,0,0,348,2.81,241,1.95,0,0,0,0,8649,0.25,2032,50.5,4550,0.26,4099,0.24,307,143,8199,69.89,348,2.81,88.22,241,1.95,59.34,COTOPAXI,PANGUA,MORASPUNGO,Ecuador,ECU.6.3.2_1
75,1030,0.01,1030,100,0,0,445,0.01,445,100,0,0,39,3.79,1,0.1,0,0,0,0,866,0.02,210,47.1,444,0.03,422,0.02,38,0,828,84.08,39,3.79,97.44,1,0.1,0,COTOPAXI,PANGUA,PINLLOPATA,Ecuador,ECU.6.3.3_1
76,1994,0.01,1994,100,0,0,664,0.01,664,100,0,0,297,14.8,3,0.15,0,0,0,0,1918,0.06,445,67,948,0.05,970,0.06,290,1,1627,96.19,297,14.89,97.64,3,0.15,33.33,COTOPAXI,PANGUA,RAMON CAMPAA,Ecuador,ECU.6.3.4_1
77,33430,0.23,23366,69.9,10064,30.1,12470,0.27,9140,73.3,3330,26.7,9079,38.8,100,0.43,1097,10.9,171,0.02,17863,0.51,4225,46.2,8389,0.48,9474,0.55,7968,64,9831,76.45,10176,30.44,87.76,271,0.81,64,COTOPAXI,PUJILI,PUJILI,Ecuador,ECU.6.4.5_1
78,5249,0.04,5249,100,0,0,2066,0.04,2066,100,0,0,2453,46.7,33,0.63,0,0,0,0,4756,0.14,1184,57.3,2253,0.13,2503,0.15,2281,15,2460,90.61,2453,46.73,92.99,33,0.63,45.45,COTOPAXI,PUJILI,ANGAMARCA,Ecuador,ECU.6.4.1_1
79,8026,0.06,8026,100,0,0,2780,0.06,2780,100,0,0,7969,99.2,2,0.02,0,0,0,0,7719,0.22,1583,56.9,3663,0.21,4056,0.24,7664,2,53,96.17,7969,99.29,96.17,2,0.02,100,COTOPAXI,PUJILI,GUANGAJE,Ecuador,ECU.6.4.2_1
80,3016,0.02,3016,100,0,0,1230,0.03,1230,100,0,0,262,8.69,9,0.3,0,0,0,0,1750,0.05,456,37,817,0.05,933,0.05,233,7,1510,58.02,262,8.69,88.93,9,0.3,77.78,COTOPAXI,PUJILI,LA VICTORIA,Ecuador,ECU.6.4.3_1
81,2640,0.02,2640,100,0,0,959,0.02,959,100,0,0,1973,74.7,1,0.04,0,0,0,0,2324,0.07,511,53.2,1128,0.06,1196,0.07,1881,0,443,88.03,1973,74.73,95.34,1,0.04,0,COTOPAXI,PUJILI,PILALO,Ecuador,ECU.6.4.4_1
82,4051,0.03,4051,100,0,0,1487,0.03,1487,100,0,0,420,10.3,54,1.33,0,0,0,0,2611,0.08,605,40.6,1338,0.08,1273,0.07,397,29,2185,64.45,420,10.37,94.52,54,1.33,53.7,COTOPAXI,PUJILI,TINGO,Ecuador,ECU.6.4.6_1
83,12643,0.09,12643,100,0,0,4236,0.09,4236,100,0,0,12503,98.8,13,0.1,0,0,0,0,11524,0.33,2445,57.7,5395,0.31,6129,0.36,11460,5,59,91.15,12503,98.89,91.66,13,0.1,38.46,COTOPAXI,PUJILI,ZUMBAHUA,Ecuador,ECU.6.4.7_1
84,31315,0.22,18827,60.1,12488,39.88,11506,0.25,7201,62.5,4305,37.42,8006,42.5,70,0.37,599,4.8,323,0.04,12917,0.37,3180,44.1,6268,0.36,6649,0.39,6770,49,6098,68.61,8605,27.48,84.56,393,1.25,70,COTOPAXI,SALCEDO,SAN MIGUEL,Ecuador,ECU.6.5.6_1
85,2664,0.02,2664,100,0,0,999,0.02,999,100,0,0,26,0.98,57,2.14,0,0,0,0,1375,0.04,366,36.6,643,0.04,732,0.04,7,36,1332,51.61,26,0.98,26.92,57,2.14,63.16,COTOPAXI,SALCEDO,ANTONIO JOSE HOLGUIN (SANTA LUCIA),Ecuador,ECU.6.5.1_1
86,7200,0.05,7200,100,0,0,2832,0.06,2832,100,0,0,5038,69.9,49,0.68,0,0,0,0,5480,0.16,1320,46.6,2682,0.15,2798,0.16,4021,26,1433,76.11,5038,69.97,79.81,49,0.68,53.06,COTOPAXI,SALCEDO,CUSUBAMBA,Ecuador,ECU.6.5.2_1
87,6379,0.04,6379,100,0,0,2311,0.05,2311,100,0,0,1734,27.1,49,0.77,0,0,0,0,3927,0.11,948,41,1835,0.1,2092,0.12,1320,19,2588,61.56,1734,27.18,76.12,49,0.77,38.78,COTOPAXI,SALCEDO,MULALILLO,Ecuador,ECU.6.5.3_1
